,S,E,I,R,D,C,L,time
39,0.0,0.0,174076.66314273034,2799815.149485816,699953.787371454,5437291.488,451588.4725878679,39
40,0.0,0.0,151446.69693417542,2817919.12245266,704479.780613165,5437291.488000001,454969.9617914451,40
41,0.0,0.0,131758.62633273262,2833669.578933814,708417.3947334535,5437291.488,457911.85739855724,41
42,0.0,0.0,114630.00490947739,2847372.476072418,711843.1190181045,5437291.488000001,460471.3065767448,42
43,0.0,0.0,99728.10427124533,2859293.996583004,714823.499145751,5437291.488000001,462698.02736176795,43
44,0.0,0.0,86763.45071598345,2869665.7194272135,717416.4298568034,5437291.488,464635.27444473817,44
45,0.0,0.0,75484.20212290558,2878689.118301675,719672.2795754188,5437291.488,466320.6794069222,45
46,0.0,0.0,65671.25584692787,2886539.4753224575,721634.8688306144,5437291.488000001,467786.98172402225,46
47,0.0,0.0,57133.99258682725,2893369.285930538,723342.3214826345,5437291.488,469062.66473989934,47
48,0.0,0.0,49706.5735505397,2899311.2211595685,724827.8052898921,5437291.488000001,470172.50896371243,48
49,0.0,0.0,43244.71898896954,2904480.704808824,726120.176202206,5437291.488,471138.0734384299,49
50,0.0,0.0,37622.9055204035,2908978.1555836773,727244.5388959193,5437291.488000001,471978.11453143397,50
51,0.0,0.0,32731.927802751045,2912890.9377577994,728222.7344394499,5437291.488,472708.95028234756,51
52,0.0,0.0,28476.777188393407,2916295.0582492854,729073.7645623214,5437291.488,473344.7773856424,52
53,0.0,0.0,24774.796153902265,2919256.643076879,729814.1607692197,5437291.488,473897.9469655089,53
54,0.0,0.0,21554.072653894968,2921833.2218768843,730458.3054692211,5437291.488,474379.20449999283,54
55,0.0,0.0,18752.043208888623,2924074.8454328896,731018.7113582224,5437291.488,474797.89855499374,55
56,0.0,0.0,16314.2775917331,2926025.0579266134,731506.2644816533,5437291.488,475162.1623828446,56
57,0.0,0.0,14193.421504807799,2927721.742796154,731930.4356990386,5437291.488000001,475479.0719130747,57
58,0.0,0.0,12348.276709182783,2929197.858632654,732299.4646581635,5437291.488,475754.78320437507,58
59,0.0,0.0,10743.000736989019,2930482.079410409,732620.5198526023,5437291.488,475994.65202780627,59
60,0.0,0.0,9346.410641180446,2931599.351487056,732899.837871764,5437291.488,476203.3379041915,60
61,0.0,0.0,8131.377257826987,2932571.3781937384,733142.8445484346,5437291.488,476384.8946166466,61
62,0.0,0.0,7074.298214309479,2933417.0414285525,733354.2603571381,5437291.488,476542.8489564825,62
63,0.0,0.0,6154.639446449246,2934152.7684428403,733538.1921107101,5437291.488,476680.2692321398,63
64,0.0,0.0,5354.536318410844,2934792.8509452716,733698.2127363179,5437291.488000001,476799.82487196155,64
65,0.0,0.0,4658.446597017433,2935349.722722386,733837.4306805965,5437291.488,476903.83827860665,65
66,0.0,0.0,4052.8485394051672,2935834.201168476,733958.550292119,5437291.488000001,476994.32994238776,66
67,0.0,0.0,3525.978229282496,2936255.697416574,734063.9243541436,5437291.488,477073.0576898774,67
68,0.0,0.0,3067.6010594757713,2936622.399152419,734155.5997881048,5437291.488,477141.55083019333,68
69,0.0,0.0,2668.812921743922,2936941.429662605,734235.3574156512,5437291.488000002,477201.1398622681,69
70,0.0,0.0,2321.867241917212,2937218.9862064663,734304.7465516166,5437291.488,477252.9823201733,70
71,0.0,0.0,2020.0245004679746,2937460.460399626,734365.1150999065,5437291.488,477298.08525855077,71
72,0.0,0.0,1757.421315407138,2937670.5429476746,734417.6357369187,5437291.488,477337.32481493923,72
73,0.0,0.0,1528.95654440421,2937853.3147644764,734463.3286911191,5437291.488,477371.46322899713,73
74,0.0,0.0,1330.1921936316628,2938012.326245095,734503.0815612738,5437291.488000001,477401.1636492274,74
75,0.0,0.0,1157.2672084595465,2938150.6662332327,734537.6665583082,5437291.488,477427.00301482796,75
76,0.0,0.0,1006.8224713598054,2938271.0220229123,734567.7555057281,5437291.488,477449.4832629003,76
77,0.0,0.0,875.9355500830306,2938375.7315599336,734593.9328899834,5437291.488,477469.04107872327,77
78,0.0,0.0,762.0639285722366,2938466.828857142,734616.7072142855,5437291.488,477486.05637848924,78
79,0.0,0.0,662.9956178578458,2938546.0835057134,734636.5208764283,5437291.488000001,477500.8596892856,79
80,0.0,0.0,576.806187536326,2938615.035049971,734653.7587624928,5437291.488000001,477513.73856967845,80
81,0.0,0.0,501.8213831566035,2938675.0228934744,734668.7557233686,5437291.488,477524.9431956203,81
82,0.0,0.0,436.584603346245,2938727.2123173224,734681.8030793306,5437291.488,477534.6912201896,82
83,0.0,0.0,379.8286049112332,2938772.6171160704,734693.1542790176,5437291.488000001,477543.1720015649,83
84,0.0,0.0,330.450886272773,2938812.119290982,734703.0298227455,5437291.488000002,477550.55028136144,84
85,0.0,0.0,287.4922710573125,2938846.486183154,734711.6215457885,5437291.488,477556.9693847846,85
86,0.0,0.0,250.11827581986194,2938876.385379344,734719.096344836,5437291.488000001,477562.55400476255,86
87,0.0,0.0,217.60289996327987,2938902.3976800293,734725.5994200073,5437291.488,477567.4126241435,87
88,0.0,0.0,189.3145229680535,2938925.0283816257,734731.2570954064,5437291.488,477571.63962300477,88
89,0.0,0.0,164.70363498220655,2938944.7170920144,734736.1792730036,5437291.488,477575.31711201416,89
90,0.0,0.0,143.29216243451967,2938961.8462700523,734740.4615675131,5437291.488,477578.51652745233,90
91,0.0,0.0,124.66418131803212,2938976.7486549458,734744.1871637364,5437291.488000001,477581.3000188835,91
92,0.0,0.0,108.45783774668794,2938989.713729803,734747.4284324507,5437291.488,477583.7216564287,92
93,0.0,0.0,94.35831883961849,2939000.993344928,734750.248336232,5437291.488,477585.828481093,93
94,0.0,0.0,82.09173739046808,2939010.8066100874,734752.7016525218,5437291.488000001,477587.6614185508,94
95,0.0,0.0,71.41981152970725,2939019.3441507765,734754.8360376941,5437291.488000001,477589.2560741392,95
96,0.0,0.0,62.1352360308453,2939026.771811175,734756.6929527938,5437291.488,477590.6434245012,96
97,0.0,0.0,54.05765534683542,2939033.2338757226,734758.3084689307,5437291.488000001,477591.850419316,97
98,0.0,0.0,47.03016015174681,2939038.8558718786,734759.7139679696,5437291.488,477592.9005048049,98
99,0.0,0.0,40.916239332019735,2939043.7470085346,734760.9367521337,5437291.488000001,477593.8140791803,99
100,0.0,0.0,35.59712821885717,2939048.0022974247,734762.0005743562,5437291.488,477594.60888888687,100
