Time;Susceptible;Exposed;Infected;Recovered;Death;2nd Effects Cases
30,75;7653837,574;2,352417502;2,039639466;3,007777077;0,02578528;2,556610516
31;7653837,421;2,398462246;2,079562296;3,074212772;0,026354825;2,613080856
31,25;7653837,265;2,445408253;2,120266543;3,141948843;0,026935517;2,670656517
31,5;7653837,106;2,493273163;2,161767504;3,211010744;0,027527576;2,729359133
31,75;7653836,944;2,542074961;2,204080773;3,281424426;0,028131223;2,789210762
32;7653836,779;2,591831983;2,247222251;3,353216348;0,028746686;2,850233896
32,25;7653836,61;2,642562927;2,291208148;3,426413485;0,029374195;2,912451462
32,5;7653836,439;2,694286854;2,336054995;3,501043343;0,030013987;2,975886842
32,75;7653836,263;2,747023199;2,381779642;3,577133965;0,030666302;3,04056387
33;7653836,085;2,800791778;2,428399273;3,654713943;0,031331385;3,106506851
33,25;7653835,903;2,855612795;2,475931404;3,733812427;0,032009486;3,173740563
33,5;7653835,717;2,911506849;2,524393898;3,814459142;0,03270086;3,242290271
33,75;7653835,528;2,968494942;2,573804964;3,89668439;0,033405766;3,312181731
34;7653835,335;3,026598488;2,624183169;3,980519069;0,03412447;3,383441208
34,25;7653835,138;3,085839319;2,675547445;4,06599468;0,034857241;3,456095478
34,5;7653834,937;3,146239696;2,727917092;4,153143343;0,035604355;3,530171841
34,75;7653834,733;3,207822315;2,781311789;4,241997804;0,036366093;3,605698133
35;7653834,524;3,270610315;2,835751598;4,332591452;0,037142741;3,682702734
35,25;7653834,311;3,33462729;2,891256978;4,424958328;0,03793459;3,761214579
35,5;7653834,094;3,399897294;2,947848785;4,51913314;0,038741938;3,841263169
35,75;7653833,873;3,466444853;3,005548284;4,615151277;0,039565089;3,922878585
36;7653833,648;3,534294972;3,064377156;4,713048817;0,040404352;4,006091494
36,25;7653833,418;3,603473148;3,124357507;4,812862547;0,041260042;4,090933165
36,5;7653833,184;3,674005373;3,185511876;4,914629974;0,042132481;4,177435478
36,75;7653832,945;3,745918152;3,247863241;5,018389337;0,043021996;4,265630937
37;7653832,701;3,819238506;3,311435032;5,124179627;0,043928923;4,355552683
37,25;7653832,453;3,893993986;3,376251138;5,232040594;0,044853601;4,447234504
37,5;7653832,2;3,970212681;3,442335912;5,342012768;0,045796378;4,540710853
37,75;7653831,941;4,047923231;3,509714188;5,454137475;0,046757608;4,636016853
38;7653831,678;4,127154837;3,578411284;5,568456844;0,047737653;4,733188318
38,25;7653831,41;4,207937271;3,648453013;5,685013835;0,048736881;4,83226176
38,5;7653831,136;4,290300887;3,719865694;5,803852244;0,049755667;4,933274407
38,75;7653830,857;4,374276634;3,792676161;5,925016726;0,050794395;5,036264217
39;7653830,573;4,459896066;3,866911774;6,04855281;0,051853453;5,141269889
39,25;7653830,283;4,547191356;3,942600427;6,174506917;0,052933241;5,24833088
39,5;7653829,987;4,636195305;4,019770561;6,302926376;0,054034165;5,35748742
39,75;7653829,686;4,726941358;4,098451174;6,433859442;0,055156637;5,468780525
40;7653829,378;4,819463612;4,17867183;6,567355313;0,056301079;5,582252016
40,25;7653829,065;4,913796834;4,260462674;6,703464154;0,057467923;5,697944531
40,5;7653828,745;5,00997647;4,343854438;6,842237109;0,058657605;5,815901543
40,75;7653828,419;5,108038661;4,428878459;6,983726323;0,059870574;5,936167375
41;7653828,087;5,208020253;4,515566684;7,127984963;0,061107284;6,058787218
41,25;7653827,749;5,309958815;4,603951688;7,275067235;0,062368201;6,18380715
41,5;7653827,403;5,413892652;4,694066682;7,425028408;0,063653799;6,311274147
41,75;7653827,051;5,519860817;4,785945528;7,577924831;0,06496456;6,441236106
42;7653826,692;5,627903128;4,879622749;7,733813957;0,066300977;6,573741863
42,25;7653826,326;5,738060184;4,975133547;7,892754363;0,067663552;6,708841208
42,5;7653825,953;5,850373375;5,072513809;8,054805772;0,069052798;6,846584907
42,75;7653825,573;5,964884905;5,171800127;8,220029079;0,070469236;6,987024717
43;7653825,185;6,081637802;5,27302981;8,388486366;0,071913398;7,130213411
43,25;7653824,789;6,200675935;5,376240894;8,560240934;0,073385827;7,276204794
43,5;7653824,386;6,322044035;5,481472162;8,735357322;0,074887077;7,425053724
43,75;7653823,975;6,445787706;5,588763156;8,913901331;0,076417712;7,576816132
44;7653823,556;6,571953446;5,698154191;9,095940053;0,077978306;7,731549045
44,25;7653823,129;6,70058866;5,809686372;9,281541888;0,079569446;7,889310605
44,5;7653822,693;6,831741686;5,923401607;9,470776581;0,081191731;8,050160094
44,75;7653822,249;6,965461803;6,039342626;9,663715237;0,082845769;8,214157951
45;7653821,796;7,101799259;6,157552994;9,860430356;0,084532182;8,381365802
45,25;7653821,334;7,240805281;6,278077131;10,06099585;0,086251603;8,551846477
45,5;7653820,863;7,382532102;6,400960322;10,2654871;0,08800468;8,725664034
45,75;7653820,383;7,527032977;6,526248744;10,47398093;0,08979207;8,902883789
46;7653819,893;7,674362202;6,653989473;10,68655569;0,091614446;9,083572333
46,25;7653819,394;7,824575136;6,784230509;10,90329125;0,093472492;9,267797562
46,5;7653818,886;7,977728222;6,917020791;11,12426906;0,095366906;9,455628701
46,75;7653818,367;8,133879007;7,052410215;11,34957215;0,0972984;9,647136329
47;7653817,838;8,293086167;7,190449655;11,57928519;0,0992677;9,842392407
47,25;7653817,299;8,455409522;7,33119098;11,81349448;0,101275545;10,04147031
47,5;7653816,749;8,620910066;7,474687074;12,05228803;0,103322691;10,24444483
47,75;7653816,188;8,789649987;7,620991857;12,29575558;0,105409907;10,45139225
48;7653815,617;8,961692687;7,770160303;12,54398861;0,107537976;10,66239032
48,25;7653815,034;9,137102813;7,922248462;12,7970804;0,109707699;10,87751834
48,5;7653814,44;9,315946275;8,077313483;13,05512604;0,11191989;11,09685713
48,75;7653813,834;9,498290273;8,235413633;13,3182225;0,114175382;11,32048913
49;7653813,216;9,684203323;8,396608317;13,58646865;0,116475021;11,54849835
49,25;7653812,587;9,873755281;8,560958105;13,85996527;0,118819672;11,78097048
49,5;7653811,944;10,06701737;8,728524752;14,13881514;0,121210215;12,01799287
49,75;7653811,29;10,26406221;8,899371223;14,42312303;0,12364755;12,25965457
50;7653810,622;10,46496384;9,073561712;14,71299578;0,126132591;12,50604641
50,25;7653809,942;10,66979775;9,251161673;15,00854231;0,128666273;12,75726097
50,5;7653809,248;10,8786409;9,432237838;15,30987368;0,131249547;13,01339263
50,75;7653808,541;11,09157177;9,616858249;15,61710311;0,133883385;13,27453764
51;7653807,819;11,30867036;9,805092276;15,93034604;0,136568776;13,54079414
51,25;7653807,084;11,53001825;9,997010649;16,24972019;0,139306729;13,81226216
51,5;7653806,334;11,75569861;10,19268548;16,57534555;0,142098273;14,08904372
51,75;7653805,57;11,98579624;10,3921903;16,90734449;0,144944456;14,37124282
52;7653804,79;12,22039759;10,59560006;17,24584175;0,147846349;14,65896549
52,25;7653803,996;12,45959082;10,80299121;17,59096453;0,150805041;14,95231985
52,5;7653803,185;12,7034658;11,01444166;17,94284252;0,153821645;15,25141614
52,75;7653802,359;12,95211416;11,23003087;18,30160792;0,156897294;15,55636673
53;7653801,517;13,20562934;11,44983984;18,66739556;0,160033144;15,86728622
53,25;7653800,658;13,46410659;11,67395118;19,04034287;0,163230373;16,18429144
53,5;7653799,783;13,72764303;11,90244909;19,42059;0,166490182;16,5075015
53,75;7653798,89;13,99633768;12,13541942;19,80827982;0,169813796;16,83703785
54;7653797,98;14,27029151;12,37294972;20,20355802;0,173202464;17,17302432
54,25;7653797,052;14,54960744;12,61512924;20,60657312;0,17665746;17,51558715
54,5;7653796,106;14,83439044;12,86204898;21,01747656;0,180180081;17,86485507
54,75;7653795,141;15,1247475;13,1138017;21,43642273;0,183771652;18,22095932
55;7653794,158;15,42078772;13,37048202;21,86356907;0,187433522;18,58403371
55,25;7653793,155;15,72262234;13,63218638;22,29907606;0,191167067;18,95421465
