,S,E,I,R,D,C,L,time
18,0.0,0.0,3172133.6242078254,523831.1006337392,130957.7751584348,7653845.0,37905.66290834639,18
19,0.0,0.0,2763353.517995477,850855.1856036183,212713.79640090457,7653845.0,41906.48805069914,19
20,0.0,0.0,2407251.260521833,1135736.9915825333,283934.24789563334,7653845.0,68068.41484828947,20
21,0.0,0.0,2097038.4692174732,1383907.2246260215,345976.80615650536,7653845.0,90858.95932660266,21
22,0.0,0.0,1826801.553081201,1600096.7575350394,400024.18938375986,7653845.0,110712.57797008172,22
23,0.0,0.0,1591388.9818078503,1788426.81455372,447106.70363843,7653845.0,128007.74060280315,23
24,0.0,0.0,1386313.0820903436,1952487.534327725,488121.88358193124,7653845.0,143074.1451642976,24
25,0.0,0.0,1207664.4890374641,2095406.4087700285,523851.6021925071,7653845.0,156199.002746218,25
26,0.0,0.0,1052037.6218934613,2219907.9024852314,554976.9756213079,7653845.0,167632.51270160227,26
27,0.0,0.0,916465.7634020357,2328365.3892783714,582091.3473195928,7653845.0,177592.63219881852,27
28,0.0,0.0,798364.5052316702,2422846.3958146637,605711.5989536659,7653845.0,186269.2311422697,28
29,0.0,0.0,695482.4813616097,2505152.0149107124,626288.0037276781,7653845.0,193827.7116651731,29
30,0.0,0.0,605858.4502583094,2576851.2397933523,644212.8099483381,7653845.0,200412.161192857,30
31,0.0,0.0,527783.907699249,2639310.8738406007,659827.7184601502,7653845.0,206148.09918346818,31
32,0.0,0.0,459770.51753182005,2693721.585974544,673430.396493636,7653845.0,211144.86990724807,32
33,0.0,0.0,400521.739499369,2741120.6084005046,685280.1521001261,7653845.0,215497.72687796352,33
34,0.0,0.0,348908.1132752236,2782411.5093798214,695602.8773449553,7653845.0,219289.64867204038,34
35,0.0,0.0,303945.7275438803,2818381.4179648957,704595.3544912239,7653845.0,222592.9207503857,35
36,0.0,0.0,264777.4636851328,2849716.0290518934,712429.0072629733,7653845.0,225470.51343719166,36
37,0.0,0.0,230656.65650921362,2877012.674792629,719253.1686981573,7653845.0,227977.28232415149,37
38,0.0,0.0,200932.86056730463,2900791.711546156,725197.927886539,7653845.0,230161.01398341035,38
39,0.0,0.0,175039.4507003839,2921506.4394396925,730376.6098599231,7653845.0,232063.3369236925,39
40,0.0,0.0,152482.8204554891,2939551.743635609,734887.9359089022,7653845.0,233720.5151551754,40
41,0.0,0.0,132832.9724586477,2955271.622033082,738817.9055082705,7653845.0,235164.1394908487,41
42,0.0,0.0,115715.32136861578,2968965.7429051073,742241.4357262768,7653845.0,236421.72976264657,42
43,0.0,0.0,100803.55315101067,2980895.1574791917,745223.7893697979,7653845.0,237517.25943240858,43
44,0.0,0.0,87813.4045490763,2991287.276360739,747821.8190901848,7653845.0,238471.61259833534,44
45,0.0,0.0,76497.24416904068,3000340.2046647677,750085.0511661919,7653845.0,239302.9821088591,45
